,Company,highratedfor,criticalratedfor,rating,reviews,salaries,interviews,jobs,companyCard,branches
8287,Bangalore Electricity Supply Company,"Promotions, Salary, Job Security",,3.8,134,528,6,--,Bengaluru +9 other locations,NA
8288,Thinkapps Solutions,"Promotions, Job Security, Salary",,3.6,134,644,11,--,Recruitment | Mumbai +28 other locations,NA
8289,Cascade Revenue Management,"Job Security, Promotions, Company Culture",,3.3,134,513,5,--,IT Services & Consulting | Kochi +7 other locations,NA
8290,Homeocare International,"Promotions, Skill Development, Company Culture",,3.5,134,397,9,7,Healthcare | Hyderabad +23 other locations,NA
8291,Glen Appliances,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,4.2,134,476,7,1,Consumer Electronics & Appliances | Faridabad +29 other locations,NA
8292,Norwegian Cruise Line,"Salary, Work Life Balance, Work Satisfaction",Promotions,4.2,134,187,8,--,Travel & Tourism | Mumbai +10 other locations,NA
8293,Xihi Technology,"Job Security, Company Culture, Work Satisfaction",,3.5,134,498,12,8,Electronics Manufacturing | Noida +5 other locations,NA
8294,SPARX IT Solutions,"Job Security, Promotions, Salary",,3.5,134,634,13,17,IT Services & Consulting | Noida +8 other locations,NA
8295,INVENTIVE SOFTWARE SOLUTIONS,"Promotions, Salary",,3.8,134,430,11,161,IT Services & Consulting | Noida +33 other locations,NA
8296,Korn Ferry,"Promotions, Salary, Skill Development",,3.1,134,927,18,--,Management Consulting | Bengaluru +7 other locations,NA
8297,Dinesh Engineers,"Company Culture, Job Security, Work Life Balance",,3.9,134,484,12,--,Telecom | Mumbai +23 other locations,NA
8298,Electronics for Imaging,"Work Life Balance, Company Culture","Promotions, Skill Development",3.9,134,1.2k,16,--,Printing & Publishing | Bengaluru +6 other locations,NA
8299,MassMutual,Work Life Balance,"Promotions, Work Satisfaction",3.8,134,1.1k,32,--,Financial Services | Hyderabad,NA
8300,Harley-Davidson,"Job Security, Promotions, Work Satisfaction",,3.8,134,489,6,27,Automobile | Gurugram +30 other locations,NA
8301,Supreme Petrochem,Job Security,"Promotions, Salary, Company Culture",3.8,134,733,6,1,Chemicals | Mumbai +8 other locations,NA
8302,Urjanet Energy Solutions,"Company Culture, Work Life Balance","Promotions, Skill Development",3.7,134,747,7,2,IT Services & Consulting | Chennai +2 other locations,NA
8303,Adani Road Transport,"Work Life Balance, Salary, Company Culture",,4.4,134,372,4,--,Ahmedabad +25 other locations,NA
8304,Anjan Drug,"Promotions, Company Culture, Work Life Balance",,3.3,134,661,16,--,Pharma | Chennai +4 other locations,NA
8305,EasyRewardz Software Services,"Promotions, Job Security, Salary",,2.8,134,887,10,11,IT Services & Consulting | Gurugram +6 other locations,NA
8306,MoEngage,"Promotions, Job Security, Skill Development",,3.5,134,1.3k,32,35,Emerging Technologies | Bengaluru +7 other locations,NA
8307,Appcino Technologies,Promotions,,3.4,134,447,16,--,IT Services & Consulting | Jaipur +12 other locations,NA
8308,RELX Group,"Promotions, Skill Development, Job Security",,3.5,134,642,10,--,Analytics & KPO | Chennai +11 other locations,NA
8309,Dangote Industries,"Job Security, Work Life Balance, Work Satisfaction",Promotions,4.1,134,326,5,--,Building Material | Lagos +9 other locations,NA
8310,Greytrix,"Promotions, Job Security, Salary",,3.2,134,546,14,13,IT Services & Consulting | Mumbai +3 other locations,NA
8311,Bansal Classes,"Job Security, Promotions, Company Culture",,3.3,134,484,9,5,Education & Training | Pune +47 other locations,NA
8312,Marquis Technologies,"Company Culture, Promotions, Skill Development",,3.3,134,690,13,5,IT Services & Consulting | Mumbai +7 other locations,NA
8313,GlowTouch Technologies,"Promotions, Company Culture, Work Satisfaction",,2.9,134,694,43,10,BPO | Mangaluru +6 other locations,NA
8314,OVT India,"Promotions, Job Security, Company Culture",,3.4,134,563,14,--,Electrical Equipment | Noida +6 other locations,NA
8315,Speciality Restaurants,"Job Security, Work Life Balance, Salary",Promotions,4.1,134,475,9,4,Hospitality | Mumbai +15 other locations,NA
8316,Marquistech,"Promotions, Company Culture, Job Security",,3.7,134,781,8,--,Noida +12 other locations,NA
8317,Dinesh Engineers,"Company Culture, Job Security, Work Life Balance",,3.9,134,484,12,--,Telecom | Mumbai +23 other locations,NA
8318,Electronics for Imaging,"Work Life Balance, Company Culture","Promotions, Skill Development",3.9,134,1.2k,16,--,Printing & Publishing | Bengaluru +6 other locations,NA
8319,Korn Ferry,"Promotions, Salary, Skill Development",,3.1,134,927,18,--,Management Consulting | Bengaluru +7 other locations,NA
8320,Esyasoft,"Company Culture, Work Satisfaction, Job Security",,4.2,134,294,42,--,Software Product | Bengaluru +22 other locations,NA
8321,Deoleo,"Skill Development, Salary, Company Culture",Promotions,4.1,134,463,8,1,Food Processing | Mumbai +34 other locations,NA
8322,GlobeGround India,"Promotions, Salary, Company Culture",,3.5,134,415,9,--,Aviation | Bengaluru +10 other locations,NA
8323,Viztar International,"Promotions, Job Security, Salary",,3.3,134,547,5,--,Education & Training | Mumbai +18 other locations,NA
8324,Accumax,"Work Life Balance, Company Culture",,3.9,134,863,6,7,Biotechnology | Ahmedabad +8 other locations,NA
8325,Mas Rural Housing Mortgage Finance,"Work Life Balance, Company Culture, Work Satisfaction",,4.1,134,324,6,14,Financial Services | Ahmedabad +43 other locations,NA
8326,Dachser,Work Life Balance,"Promotions, Salary",3.9,134,471,3,2,Logistics | Mumbai +17 other locations,NA
8327,Zurich Kotak General Insurance,"Promotions, Company Culture, Work Satisfaction",,3.1,134,574,11,3,Insurance | Mumbai +31 other locations,NA
8328,Svarn Infratel,"Job Security, Company Culture, Promotions",,3.5,134,610,12,--,Hardware & Networking | Faridabad +8 other locations,NA
8329,A.P.Securitas,"Work Life Balance, Job Security, Work Satisfaction",,4.2,134,424,6,--,Law Enforcement & Security | New Delhi +33 other locations,NA
8330,Sourcedesk,"Work Life Balance, Company Culture, Work Satisfaction",,4.1,134,187,8,14,IT Services & Consulting | Kolkata +2 other locations,NA
8331,Spocto X,"Promotions, Job Security, Work Satisfaction",,3.5,134,638,7,3,Software Product | Mumbai +13 other locations,NA
8332,Spectra Technovision India,"Promotions, Work Satisfaction, Company Culture",,3.3,134,704,11,10,Electronics Manufacturing | Ahmedabad +15 other locations,NA
8333,Securonix,"Job Security, Work Satisfaction, Skill Development",,2.6,133,912,16,--,Internet | Bengaluru +3 other locations,NA
8334,Smile Electronics,"Company Culture, Promotions, Salary",,3.7,133,549,4,--,Electronics Manufacturing | Bengaluru +5 other locations,NA
8335,Express KCS,"Promotions, Skill Development, Salary",,3.5,133,511,12,--,Marketing & Advertising | New Delhi +8 other locations,NA
8336,Multi Mantech International,"Promotions, Company Culture, Job Security",,2.2,133,374,7,22,Engineering & Construction | Ahmedabad +27 other locations,NA
8337,Beyondriffs,"Company Culture, Work Life Balance, Work Satisfaction",Salary,4.6,133,9,25,--,Education & Training | Ghaziabad,NA
8338,DAEWOO E&C,"Work Life Balance, Skill Development, Salary",,4.2,133,164,5,--,Engineering & Construction | Patna +16 other locations,NA
8339,IPAC,"Job Security, Promotions, Work Life Balance",,3.3,133,936,12,--,Retail | Kolkata +15 other locations,NA
8340,Arbro Pharmaceuticals,"Job Security, Work Life Balance, Work Satisfaction",Promotions,3.8,133,519,16,4,Pharma | New Delhi +8 other locations,NA
8341,Calling 24o7 Bpo Services,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,3.9,133,359,16,--,BPO | Pune +9 other locations,NA
8342,V.Ships,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",4.0,133,456,11,4,Ports & Shipping | Mumbai +11 other locations,NA
8343,Perennial Systems,"Skill Development, Work Life Balance, Work Satisfaction",,4.2,133,618,26,2,IT Services & Consulting | Pune +1 other locations,NA
8344,Qbss,"Promotions, Salary",,3.8,133,609,11,--,IT Services & Consulting | Coimbatore +4 other locations,NA
8345,Narayana Superspeciality Hospital,"Skill Development, Job Security, Company Culture","Promotions, Salary",4.0,133,429,8,--,Healthcare | Kolkata +12 other locations,NA
8346,Shilpa Steel and Power,"Promotions, Job Security, Company Culture",,3.6,133,498,3,3,Iron & Steel | Nagpur +4 other locations,NA
8347,Neo Metaliks,"Promotions, Company Culture, Work Satisfaction",,3.5,133,527,7,1,Metals & Mining | Durgapur +4 other locations,NA
8348,Appy Pie,Work Life Balance,"Job Security, Promotions",3.7,133,683,14,5,IT Services & Consulting | Noida +5 other locations,NA
8349,Omega Elevators,"Promotions, Job Security",,3.7,133,462,6,5,Industrial Machinery | Ahmedabad +26 other locations,NA
8350,SFS Group,"Promotions, Company Culture, Work Satisfaction",,3.7,133,528,5,8,Auto Components | Pune +8 other locations,NA
8351,Pride Purple Group,"Salary, Company Culture, Skill Development",,4.0,133,680,7,13,Real Estate | Pune +3 other locations,NA
8352,Hansa Research Group,Job Security,Promotions,3.7,133,557,4,3,Analytics & KPO | Mumbai +18 other locations,NA
8353,Kimia Biosciences Limited,"Job Security, Promotions, Company Culture",,3.6,133,583,8,7,Pharma | Gurugram +3 other locations,NA
8354,Planet EDU,"Promotions, Salary, Job Security",,3.3,133,417,12,--,EdTech | Gurugram +23 other locations,NA
8355,RAMADA PLAZA,Work Life Balance,,4.1,133,467,6,--,Hospitality | Chennai +20 other locations,NA
8356,Juego Studios,"Skill Development, Company Culture, Work Satisfaction","Promotions, Salary",4.2,133,391,13,35,Gaming | Bengaluru +3 other locations,NA
8357,FIL Industries,"Promotions, Salary, Work Satisfaction",,3.2,133,570,6,5,Chemicals | Srinagar +10 other locations,NA
8358,MindSquare Technologies,"Work Life Balance, Work Satisfaction, Company Culture",,4.5,133,494,6,--,IT Services & Consulting | Bengaluru +21 other locations,NA
8359,Yamaha Motors Solutions,"Promotions, Work Satisfaction, Company Culture",,3.0,133,739,19,63,IT Services & Consulting | Faridabad +12 other locations,NA
8360,Fragma Data Systems,"Salary, Company Culture, Work Life Balance",,4.0,133,395,15,--,IT Services & Consulting | Bengaluru +4 other locations,NA
8361,Sinclus Engineering Consulting,"Company Culture, Work Life Balance, Salary",Promotions,4.2,133,538,12,--,IT Services & Consulting | Mumbai +48 other locations,NA
8362,Juego Studios,"Skill Development, Company Culture, Work Satisfaction","Promotions, Salary",4.2,133,391,13,35,Gaming | Bengaluru +3 other locations,NA
8363,H-one India,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,3.9,133,551,7,--,Auto Components | Noida +11 other locations,NA
8364,Ramdev Food Products,"Company Culture, Work Life Balance, Salary",,4.5,133,406,7,1,Food Processing | Ahmedabad +20 other locations,NA
8365,Tumbledry Solutions,"Job Security, Promotions",,3.7,133,363,6,3,Other | Noida +25 other locations,NA
8366,Yamaha Motors Solutions,"Promotions, Work Satisfaction, Company Culture",,3.0,133,739,19,63,IT Services & Consulting | Faridabad +12 other locations,NA
8367,Planet EDU,"Promotions, Salary, Job Security",,3.3,133,417,12,--,EdTech | Gurugram +23 other locations,NA
8368,Kimia Biosciences Limited,"Job Security, Promotions, Company Culture",,3.6,133,583,8,7,Pharma | Gurugram +3 other locations,NA
8369,Nesto Hypermarket,Company Culture,,3.7,133,389,11,4,Kozhikode +18 other locations,NA
8370,Wishup,"Skill Development, Work Life Balance, Company Culture",,4.0,133,498,32,16,Financial Services | Bengaluru +4 other locations,NA
8371,V-Soft Consulting,"Job Security, Promotions, Company Culture",,3.1,133,645,29,--,IT Services & Consulting | Hyderabad +6 other locations,NA
8372,Prefr,"Promotions, Job Security, Company Culture",,3.7,133,651,10,2,FinTech | Hyderabad +19 other locations,NA
8373,Kiran Motors,"Company Culture, Promotions, Work Satisfaction",,3.5,133,480,2,--,Auto Components | Ahmedabad +14 other locations,NA
8374,Rockwell Industries,Work Life Balance,"Company Culture, Job Security, Promotions",3.6,133,531,14,9,Electronics Manufacturing | Hyderabad +17 other locations,NA
8375,Pravin Electricals,"Work Satisfaction, Skill Development, Job Security",,4.1,134,578,5,--,Electrical Equipment | Mumbai +15 other locations,NA
8376,Continental Coffee,"Job Security, Salary, Work Life Balance",,4.1,133,461,5,--,Food Processing | Hyderabad +29 other locations,NA
8377,The Judge Group,"Promotions, Job Security, Work Satisfaction",,3.2,133,677,9,16,Recruitment | Noida +7 other locations,NA
8378,SAG Infotech,"Work Satisfaction, Promotions, Company Culture",,3.4,133,435,11,7,IT Services & Consulting | Jaipur +5 other locations,NA
8379,Autobahn Trucking Corporation,"Company Culture, Work Life Balance, Work Satisfaction",,4.2,133,546,14,15,Automobile | Pune +20 other locations,NA
8380,Ebix Smartclass Educational Services,"Work Life Balance, Work Satisfaction",Promotions,4.0,133,522,9,--,EdTech | New Delhi +35 other locations,NA
8381,Apex Kidney Care,"Job Security, Skill Development",Promotions,3.9,133,397,9,8,Healthcare | Mumbai +19 other locations,NA
8382,CloudThat Technologies Private Limited,"Skill Development, Company Culture, Work Life Balance",Salary,3.9,133,705,29,64,IT Services & Consulting | Bengaluru +5 other locations,NA
8383,Unique Infra Engineering India Private Limited,"Job Security, Promotions, Salary",,2.9,133,567,12,--,Engineering & Construction | Lucknow +24 other locations,NA
8384,Abs Fujitsu General,"Promotions, Company Culture",,3.8,134,670,9,4,Engineering & Construction | Hyderabad +15 other locations,NA
8385,Ashok Iron Group,"Promotions, Company Culture, Work Satisfaction",,3.7,132,672,9,--,Iron & Steel | Belagavi +6 other locations,NA
8386,Lectrix Ev,"Promotions, Job Security, Work Satisfaction",,3.6,132,500,15,--,Gurugram +15 other locations,NA
8387,Telegence Powercomm,"Company Culture, Job Security, Promotions",,3.4,132,362,8,--,Engineering & Construction | Vadodara +39 other locations,NA
8388,Viveks,"Job Security, Work Satisfaction, Skill Development",,4.0,132,471,8,7,Retail | Chennai +13 other locations,NA
8389,The West Coast Paper Mills,"Job Security, Work Life Balance","Promotions, Salary, Skill Development",3.7,132,559,4,5,Pulp & Paper | Dandeli +10 other locations,NA
8390,Bristol Healthcare Services,"Company Culture, Work Satisfaction, Promotions",,3.2,132,423,36,11,BPO | Chennai +3 other locations,NA
8391,APC By Schneider Electric,"Company Culture, Work Life Balance, Work Satisfaction",,4.4,132,266,7,--,Electrical Equipment | Bengaluru +16 other locations,NA
8392,Century Rayon,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",3.8,132,479,8,--,Fashion & Textile | Mumbai +8 other locations,NA
8393,Pratiti Technologies,"Promotions, Job Security, Salary",,3.4,132,661,35,10,Software Product | Pune,NA
8394,Kusalava International,"Promotions, Salary, Company Culture",,3.8,132,374,6,6,Industrial Machinery | Vijayawada +9 other locations,NA
8395,Data Template Infotech,"Promotions, Salary, Company Culture",,3.0,132,575,14,--,IT Services & Consulting | Bengaluru +4 other locations,NA
8396,TetraSoft,Work Life Balance,"Job Security, Promotions",3.7,132,1k,12,--,IT Services & Consulting | Hyderabad +4 other locations,NA
8397,Accountant Anywhere Services,"Company Culture, Work Satisfaction, Skill Development",,4.2,132,998,13,--,BPO | Pune +45 other locations,NA
8398,Spykar Lifestyles,"Work Life Balance, Company Culture, Job Security","Promotions, Salary",4.0,132,421,8,2,Fashion & Textile | Mumbai +35 other locations,NA
8399,HireRight,Salary,"Job Security, Promotions, Skill Development",3.6,132,715,4,--,Analytics & KPO | Bengaluru +9 other locations,NA
8400,Kruger Ventilation Industries,Job Security,"Promotions, Salary",3.6,132,565,7,31,Industrial Machinery | Mumbai +11 other locations,NA
8401,Palo Alto Networks,Salary,"Promotions, Job Security, Work Satisfaction",3.7,132,1.6k,25,--,IT Services & Consulting | Bengaluru +11 other locations,NA
8402,D Light Energy,"Salary, Work Life Balance","Promotions, Job Security, Work Satisfaction",3.7,132,436,3,1,Waste Management | Gurugram +35 other locations,NA
8403,Aqua Group,"Work Life Balance, Work Satisfaction, Skill Development",Promotions,4.1,132,605,1,--,Industrial Machinery | Coimbatore +16 other locations,NA
8404,Hindustan Shipyard,"Company Culture, Work Life Balance, Work Satisfaction","Promotions, Job Security",4.0,132,403,13,--,Ports & Shipping | Visakhapatnam +7 other locations,NA
8405,B. E. Billimoria,"Salary, Company Culture, Work Life Balance",,4.1,132,297,5,--,Engineering & Construction | Mumbai +14 other locations,NA
8406,UTI Mutual Fund,"Company Culture, Work Life Balance",Promotions,3.9,132,717,10,203,Financial Services | Mumbai +57 other locations,NA
8407,Vikram Tea,"Work Life Balance, Company Culture, Work Satisfaction",,4.3,132,422,13,5,Financial Services | Mumbai +42 other locations,NA
8408,Electrostar Electronics,"Skill Development, Salary, Work Life Balance",,4.0,132,1k,5,--,Noida +56 other locations,NA
8409,HP ADHESIVES,"Salary, Work Life Balance, Company Culture",Promotions,4.1,132,505,7,1,Chemicals | Mumbai +39 other locations,NA
8410,Unified Infotech,"Work Life Balance, Company Culture, Work Satisfaction",,4.3,132,468,25,11,IT Services & Consulting | Kolkata +2 other locations,NA
8411,Fia Technology Services,"Job Security, Promotions",,3.6,132,456,14,2,FinTech | Gurugram +28 other locations,NA
8412,Obeetee,Job Security,"Promotions, Work Satisfaction",3.9,132,596,9,--,Fashion & Textile | Panipat +11 other locations,NA
8413,Ind Synergy,"Work Satisfaction, Company Culture, Work Life Balance",Promotions,4.0,132,510,6,2,Engineering & Construction | Raigarh +10 other locations,NA
8414,Jai Raj Ispat,"Promotions, Company Culture, Work Satisfaction",,3.5,132,469,15,5,Iron & Steel | Kurnool +6 other locations,NA
8415,Axis Clinicals,"Job Security, Work Life Balance, Company Culture",,4.0,132,613,7,--,Clinical Research | Hyderabad +5 other locations,NA
8416,Sigma,"Work Life Balance, Job Security, Skill Development",Promotions,3.8,132,681,12,--,Pharma | Pune +36 other locations,NA
8417,Voltech Hr Services,"Promotions, Salary, Company Culture",,3.1,132,429,8,4,Recruitment | Chennai +32 other locations,NA
8418,Tecnics Integration Technologies,"Job Security, Promotions, Company Culture",,3.3,132,890,10,3,Software Product | Hyderabad +4 other locations,NA
8419,Distacart,"Work Life Balance, Job Security, Company Culture",,4.7,132,95,31,23,Internet | Hyderabad +4 other locations,NA
8420,Ascentrik Research Services,"Work Satisfaction, Company Culture, Promotions",,1.8,132,519,22,3,IT Services & Consulting | Pune +9 other locations,NA
8421,Sanzyme,Work Life Balance,Skill Development,3.8,132,509,9,--,Biotechnology | Hyderabad +15 other locations,NA
8422,Urbanpro,"Promotions, Company Culture, Job Security",,3.6,132,484,10,1,EdTech | Bengaluru +21 other locations,NA
8423,Mantle Solutions,"Promotions, Salary, Skill Development",,3.3,132,782,8,10,IT Services & Consulting | Kochi +6 other locations,NA
8424,PCS-Global,Salary,,3.6,132,319,19,--,Education & Training | Kolkata +9 other locations,NA
8425,Sumitomo Mitsui Banking Corporation,"Work Satisfaction, Promotions, Skill Development",,2.6,132,914,17,69,Financial Services | New Delhi +8 other locations,NA
8426,The George Telegraph Training Institute,"Promotions, Salary, Work Satisfaction",,2.9,132,375,9,--,Education & Training | Kolkata +14 other locations,NA
8427,Presidium School,"Promotions, Salary, Job Security",,3.5,132,542,2,3,Education & Training | New Delhi +7 other locations,NA
8428,Institute of Chemical Technology,"Company Culture, Work Satisfaction, Skill Development","Promotions, Job Security",4.0,132,557,4,--,Mumbai +31 other locations,NA
8429,Rare Rabbit,"Promotions, Job Security, Company Culture",,3.5,132,453,7,--,Fashion & Textile | Bengaluru +32 other locations,NA
8430,Benteler Automotive,"Work Life Balance, Job Security, Salary",Promotions,4.0,132,491,4,11,Electronics Manufacturing | Pune +3 other locations,NA
8431,SDNA Global,"Work Life Balance, Company Culture, Work Satisfaction",,4.0,132,268,10,7,Recruitment | Bengaluru +9 other locations,NA
8432,FNF India,"Job Security, Company Culture, Work Life Balance",Promotions,3.9,132,724,24,--,IT Services & Consulting | Bengaluru +4 other locations,NA
8433,Auma,Job Security,"Promotions, Skill Development, Salary",3.6,132,555,7,--,Industrial Automation | Bengaluru +9 other locations,NA
8434,Perceptive,Work Life Balance,"Job Security, Promotions, Skill Development",3.4,132,859,12,10,Clinical Research | Hyderabad +6 other locations,NA
8435,Marino Food Products,Work Life Balance,Promotions,3.9,132,420,8,4,Food Processing | Hyderabad +39 other locations,NA
8436,Jupiter Money,"Job Security, Promotions, Company Culture",,2.4,132,997,36,7,FinTech | Bengaluru +6 other locations,NA
8437,Protiviti Consulting,"Promotions, Work Satisfaction, Company Culture",,3.0,132,1.5k,12,--,Management Consulting | Gurugram +12 other locations,NA
8438,Valmont Structures,"Job Security, Promotions, Skill Development",,3.0,132,721,20,4,Engineering & Construction | Pune +7 other locations,NA
8439,Ace Creative Learning,Skill Development,"Promotions, Job Security",3.8,132,525,7,6,Design | Bengaluru +15 other locations,NA
8440,Foxlink India Electric,"Promotions, Job Security, Work Satisfaction",,3.7,132,588,13,--,Electronics Manufacturing | Tirupati +12 other locations,NA
8441,Duroply Industries,Work Life Balance,"Job Security, Promotions, Skill Development",3.7,133,557,15,3,Building Material | New Delhi +33 other locations,NA
8442,DELTA,"Job Security, Skill Development, Salary",,4.1,132,1.3k,25,--,Events | Bengaluru +27 other locations,NA
8443,GEEBEE Education,"Job Security, Promotions, Company Culture",,3.1,132,478,10,8,Education & Training | Mumbai +13 other locations,NA
8444,Facile Services,"Job Security, Promotions, Work Life Balance",,2.7,132,616,16,4,IT Services & Consulting | Pune +1 other locations,NA
8445,Refex Industries,"Promotions, Job Security, Work Satisfaction",,3.6,132,452,16,76,NBFC | Chennai +27 other locations,NA
8446,Kalpataru International,Salary,Promotions,3.9,132,306,10,16,Engineering & Construction | Mumbai +43 other locations,NA
8447,Hicool Electronic Industries,"Company Culture, Work Life Balance, Skill Development",,4.0,132,440,13,5,Electrical Equipment | Pune +8 other locations,NA
8448,iQGateway,"Work Life Balance, Company Culture, Work Satisfaction",,4.5,132,330,8,--,IT Services & Consulting | Bengaluru +3 other locations,NA
8449,ITL Industries,"Promotions, Salary, Work Satisfaction",,3.8,132,653,7,--,Industrial Machinery | Indore +14 other locations,NA
8450,Reynold India,"Company Culture, Work Life Balance, Work Satisfaction",,4.6,132,253,3,14,Industrial Machinery | Noida +11 other locations,NA
8451,Chemspec Chemicals,"Job Security, Company Culture, Promotions",,3.5,132,654,7,2,Chemicals | Mumbai +4 other locations,NA
8452,Phreesia,"Promotions, Job Security, Skill Development",,2.5,132,566,12,--,Healthcare | Pune +3 other locations,NA
8453,Global Cloud Xchange,"Promotions, Job Security, Company Culture",,3.3,131,759,7,--,Telecom | Mumbai +6 other locations,NA
8454,Secure Network Solutions,"Skill Development, Work Satisfaction, Job Security",,4.4,131,356,10,2,IT Services & Consulting | Chennai +10 other locations,NA
8455,AstraGen,"Promotions, Job Security, Company Culture",,3.6,131,356,17,--,EdTech | Vijayawada +21 other locations,NA
8456,AXA,"Work Life Balance, Company Culture, Job Security","Promotions, Work Satisfaction, Salary",3.7,131,834,19,--,Insurance | Bengaluru +9 other locations,NA
8457,CORNITOS,"Salary, Work Life Balance",,4.1,131,439,14,4,FMCG | Faridabad +25 other locations,NA
8458,Metalman Microturners,"Promotions, Salary, Work Satisfaction",,3.8,131,551,12,--,Metals & Mining | Rudrapur +9 other locations,NA
8459,J. M. Mhatre Infra,"Work Life Balance, Work Satisfaction, Company Culture","Promotions, Salary",4.0,131,505,1,--,Engineering & Construction | Navi Mumbai +16 other locations,NA
8460,Tokai Rika Minda,"Promotions, Salary, Work Satisfaction",,3.6,131,513,8,--,Semiconductors | Bengaluru +7 other locations,NA
8461,Insurance Company,"Salary, Company Culture, Work Life Balance",,4.1,131,1.7k,8,--,Real Estate | New Delhi +52 other locations,NA
8462,Al Fara'a Group,"Salary, Work Satisfaction, Work Life Balance",,3.1,131,349,2,--,Engineering & Construction | Mumbai +11 other locations,NA
8463,Growisto,"Company Culture, Skill Development, Work Life Balance",,4.4,131,320,14,3,Marketing & Advertising | Mumbai +2 other locations,NA
8464,ToXSL Technologies,"Salary, Work Satisfaction, Skill Development",,3.8,131,371,1,2,IT Services & Consulting | Sahibzada Ajit Singh Nagar +13 other locations,NA
8465,Oxalis Pharmaceuticals,"Job Security, Work Life Balance, Salary","Company Culture, Promotions",3.8,131,529,5,--,Pharma | Baddi +7 other locations,NA
8466,Camp K-12,"Job Security, Promotions, Salary",,3.3,131,618,8,--,EdTech | Gurugram +5 other locations,NA
8467,Just Dogs,"Promotions, Company Culture, Work Satisfaction",,3.6,131,357,20,12,Internet | Ahmedabad +14 other locations,NA
8468,Envision Overseas Education Consultants,"Salary, Work Life Balance, Work Satisfaction",,4.0,131,182,67,--,Mumbai +7 other locations,NA
8469,HashCash Consultants,"Skill Development, Salary","Work Satisfaction, Promotions",3.6,131,208,11,7,Software Product | Kolkata +5 other locations,NA
8470,Intact Green Services,"Promotions, Salary, Work Satisfaction",,3.4,131,1k,18,5,Urban Transport | Bengaluru +13 other locations,NA
8471,Megha Fruit Processing,"Promotions, Job Security, Company Culture",,3.7,131,386,10,3,Hyderabad +37 other locations,NA
8472,Global Market Insights,"Work Satisfaction, Job Security, Skill Development",,3.2,131,579,11,3,Analytics & KPO | Pune +4 other locations,NA
8473,Total Shipping & Logistics,"Promotions, Company Culture, Work Life Balance",,3.1,131,518,11,9,Logistics | Mumbai +33 other locations,NA
8474,Sanathan Textiles,"Job Security, Company Culture, Work Life Balance",Promotions,4.1,131,672,7,2,Fashion & Textile | Dadra & Nagar Haveli +12 other locations,NA
8475,Sarita Handa Exports,"Promotions, Work Satisfaction",,3.6,131,639,8,--,Architecture & Interior Design | Gurugram +9 other locations,NA
8476,Eastman Cast & Forge,"Promotions, Work Satisfaction, Company Culture",,3.2,131,490,8,2,Industrial Machinery | Ludhiana +10 other locations,NA
8477,KION India,"Work Satisfaction, Promotions, Skill Development",,3.5,131,857,13,--,Industrial Machinery | Pune +13 other locations,NA
8478,Hubert Enviro Care Systems,"Company Culture, Work Satisfaction, Job Security",,2.8,131,728,10,14,Waste Management | Chennai +19 other locations,NA
8479,ECS | Enterprise Change Specialists,"Company Culture, Work Life Balance, Work Satisfaction",,4.3,131,141,5,126,IT Services & Consulting | Hyderabad +6 other locations,NA
8480,Noble Hospital,"Skill Development, Work Life Balance, Job Security",Promotions,3.9,131,581,5,9,Healthcare | Pune +19 other locations,NA
8481,Snovasys,"Salary, Work Satisfaction, Skill Development",,4.5,131,299,76,--,IT Services & Consulting | Hyderabad +1 other locations,NA
8482,Mitel,Work Life Balance,"Promotions, Job Security, Skill Development",3.6,131,1.1k,18,--,Telecom | Bengaluru +8 other locations,NA
8483,ADM India,"Work Life Balance, Company Culture, Job Security",Promotions,4.0,131,772,14,--,Food Processing | Bengaluru +22 other locations,NA
8484,Hawa Valves,"Company Culture, Work Satisfaction, Salary",,3.0,131,744,8,10,Oil & Gas | Mumbai +7 other locations,NA
8485,ClinChoice,"Work Life Balance, Company Culture","Promotions, Skill Development, Salary",3.7,131,571,15,1,Clinical Research | Bengaluru +2 other locations,NA
8486,Accurate Background,Salary,"Promotions, Job Security, Skill Development",3.6,131,763,12,7,Recruitment | Mumbai +6 other locations,NA
8487,Cococart Ventures,"Promotions, Salary, Company Culture",,3.6,131,317,9,--,Mumbai +18 other locations,NA
8488,IIDE - The Digital School,"Skill Development, Company Culture, Work Satisfaction",,4.0,131,270,29,42,EdTech | Mumbai +5 other locations,NA
8489,Anand Engineering Products,"Job Security, Promotions, Work Life Balance",,3.1,131,552,6,35,Engineering & Construction | Tiruchirappalli +8 other locations,NA
8490,Visit Health,"Promotions, Company Culture, Work Life Balance",,3.0,131,738,12,41,Biotechnology | Bengaluru +7 other locations,NA
8491,Sterling Accuris Wellness,"Work Life Balance, Job Security, Company Culture",Promotions,4.1,131,511,6,6,Healthcare | Ahmedabad +15 other locations,NA
8492,Wings Pharmaceuticals,"Job Security, Promotions, Company Culture",,3.1,131,480,15,7,Pharma | New Delhi +29 other locations,NA
8493,AlgoLeap Technologies,"Company Culture, Work Life Balance, Work Satisfaction",,4.2,131,430,27,73,Emerging Technologies | Hyderabad +6 other locations,NA
